,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Akron OH Metro Area,72.4469642856341,71.5538853289302,71.5594887095942,71.959269999507,71.86809978990021,72.061987401979,72.8550924911811,73.5723313374095,73.4673492851898,74.8218919777192,74.4043966428059,74.536845175682,76.71525184746069,77.9968934956432,78.75523028834841,81.7073862160925,82.5860184634996,84.87821759221191,87.58195491579158,89.64461992529259,91.4288223685524,92.27927325316472,94.16987611539909,93.8466439625516,97.37228097749158,98.85236061642651,99.8086240909495,100.207620471889,99.1240512268207,96.6692266226726,92.0530256445135,87.6502084820689,72.74901407251579,69.5986759793469,63.753131976466996,64.1255890679139,64.5896222597471,62.9254302918462,61.2952502449239,61.4148646240364,60.7630020656559,59.72168857858729,60.8504862743052,59.41050414630529,60.4297080833144,61.228441971441896,61.5164178111295,61.2520227196109,62.26683205260429,65.6780973598792,66.4469759124518,68.1623202459792,69.1406662714563,72.650448625776,74.0150102936065,81.51486857607159,84.43124429151709,84.9466059094415,87.17734958493129,87.7757906490167,87.362510393704,90.11100050776008,90.94835736099121,91.1547104139398,92.4605842373484,93.4330945182138
Albany-Schenectady-Troy NY Metro Area,74.108905396061,74.61482022940879,72.4320953353068,72.6410861637864,73.1370340234337,72.66144014324091,71.64106501127401,70.9932385871765,69.33721293724979,73.2771286064541,74.3840720994262,74.80896266103329,76.1895970013509,78.3788703849043,80.1438803943211,83.4335233651514,84.1120948980094,86.34373357264109,91.6648033902537,94.70983516337921,99.3691013524802,100.223221958464,100.327214354907,100.556359534958,101.64863815792299,101.55865855619699,102.402190430855,102.55246740515301,102.296405259573,99.9913892594722,97.4408709347525,95.2630890418816,88.5876789523043,85.5358563609795,82.7568771156308,82.1068293889449,81.87756946632379,82.9504764472692,83.8427210117606,84.73330650458941,87.7207757298558,88.610669838151,88.5030071058913,87.7238530758292,88.0347400657012,88.1303712697109,88.4270215992325,88.252464470011,89.3090970496032,91.4582227872687,92.22212217709259,93.43694106407791,95.0782068823551,96.43859149428309,98.6794006474796,101.61561428228599,104.46146082112699,104.673351207825,105.033322153478,105.08795207543001,105.609649396334,105.402170465646,106.076781552237,106.295536519617,106.383692335275,107.550338847582
Albuquerque NM Metro Area,70.82194662828059,70.60554355250879,70.61564024711791,71.1183047817222,71.30885124249471,71.0038623663452,71.1037552846782,71.3943050880312,71.49665765439,72.1689276555615,73.801731383747,75.0914250766336,76.2808789621714,77.50509036525821,79.46690357398721,80.6404013730643,81.30076827890079,85.34434451434849,87.9563569637695,90.0678588032803,91.0084584044466,95.7706924805402,97.38097009527479,97.41348005406151,98.56954237271509,100.21472888387699,101.085762565858,101.560405312228,100.89629742971,97.7929935296804,94.98669589141309,91.53622673503901,85.7926028142373,82.7082101893781,80.7388600567151,79.986516231964,79.7944136501105,79.3375146481885,79.26574169966909,78.2905870243241,78.2201824247184,78.22128716167609,78.2362914670305,77.6584859962878,78.89813984914309,78.7486189789347,78.6141536844645,79.18850245275941,79.3991008015309,77.95647910376358,78.4067108603567,78.6319196049628,78.28572680996109,79.68603392794441,80.6512081365526,83.7961200783325,86.6642664452463,87.0595852400508,88.67521567577191,90.4905727325672,90.9591320665513,90.6783058619832,92.34415043100609,93.16958819093891,96.7047233229786,98.10394919714349
Allentown-Bethlehem-Easton PA-NJ Metro Area,69.570264832185,70.8468932535175,71.1313110233651,71.0305634893745,71.2517205059809,71.7496340703704,71.2323404684457,72.90699070848031,74.25116531742731,75.6440299176224,76.6719955453787,75.9757166964385,77.6265844516328,79.09325263002971,81.3638173403269,83.0694401364723,84.3822511794638,87.30473888031321,90.74828211835128,93.646052504706,95.5908687308631,97.91502714315381,99.29980680017759,100.021415641674,100.84840581082199,101.64907530537901,102.405960680746,102.70247085765,101.01153487121799,98.34142668972869,94.45311018142729,90.527562355569,86.7325384831414,82.839734246237,80.03302055509221,80.03435994655851,79.4282899005058,79.1034100996982,77.94145130768491,77.9911705693778,77.56346310550299,77.7761883543242,77.53787953531992,78.2892588781054,78.1002850314935,78.8327234766292,78.5489062195696,78.6410509758152,78.80452409133079,77.6965111181812,77.9855541793075,79.0070925548473,81.32731609451629,81.926846334339,82.76827201015409,85.6208193147073,88.45720340712391,89.98698837667361,91.30345309802459,92.48898336486789,93.6970051367927,94.6456038778957,95.1079661291342,95.71296016906359,95.8432784872697,96.86252531191309
Atlanta-Sandy Springs-Marietta GA Metro Area,67.57231148090689,67.29264925138821,67.0719310347295,67.18308529598579,67.4834601154744,68.15991913760129,68.297420080343,68.2100943133184,69.12079399249721,70.1308081518378,70.3914268267912,70.90799248221941,72.2126671705094,72.6696110964988,74.9082565656852,78.0365534730048,78.9700413339997,79.63726737169141,81.68798537505229,84.3527836756456,86.83665082636921,91.2677031839001,94.23100342881081,94.923366368069,97.4902329602757,99.3460021364521,99.16375027172079,97.1052255314887,95.8998739030867,92.762904283248,88.57677011522681,83.64656917948399,74.4979262037412,70.917522254117,68.7551082234705,66.2986691573298,61.03729858576529,57.6556571206145,56.10401780510529,55.230128082199705,55.404355603775606,55.491443592772896,55.4440452360739,56.2840824698629,56.030500825499296,57.133278060157096,57.6931465302053,58.309644346225994,58.4746527405559,59.607987111244896,62.6660239267335,63.298629906616604,65.44136788223021,65.8092251418462,66.6001724411331,68.2226621589014,71.03134815634459,73.02492996023041,74.8024545411868,75.1939653881382,76.282859056037,76.9960134003901,78.3468716518754,79.6533691179226,80.70187900406091,83.6572105513317
Augusta-Richmond County GA-SC Metro Area,71.29917408171329,71.510448607237,71.73884946455651,72.158466063728,71.6335962742,71.0854050669578,71.4277951121468,70.9387849177475,71.361656679541,73.0501435878578,73.8208844145965,74.93759012391159,76.56861783297191,78.6858459831004,80.6841344682601,82.3950072525582,83.0063232219467,84.38061960510059,88.06003156583559,88.9557826268826,89.9341353282333,92.3963950910597,94.1351890067917,93.844915779087,97.7190469578619,99.3761344753475,100.019872769493,99.87525161560221,98.4066657304613,96.53136990884701,93.19678248464929,90.4435506703268,85.4755024136119,82.51215805727391,79.38430545171009,78.8107320867413,77.7550809983199,78.137430796195,78.5259141065772,75.6997264855504,74.22113097360409,72.9760193414193,73.0210310757442,73.9670799647778,73.1700321633147,73.6798744574476,73.6279959536566,72.8162355057023,73.99150501895241,76.4136725138646,77.93838031326192,78.86502860609191,80.622085789728,80.6973535775094,82.4693611524196,85.0323590475315,85.6660185004817,86.3716266715304,88.2389673598994,90.99860582609242,90.667214585356,92.2553093949102,93.029424245284,93.56215826430059,92.8869238244997,94.5554258199416
Austin-Round Rock-San Marcos TX Metro Area,66.8847959847985,68.0326486825914,67.7978511605062,66.2987862961719,65.57285968801361,67.41887143832349,67.1764409817676,67.12454943019439,66.1652603914044,66.0323482905025,65.806995360195,68.0729346037995,68.1122954537746,69.9968156791887,70.75477710615709,72.5703684545452,73.228412112055,76.55151009675642,80.036065594607,82.4211529116442,83.6530283964185,88.25197495785379,90.7669201057942,92.4492333687714,95.53447624632321,97.06499959878789,97.7844371061029,97.6666133227672,98.15739661784531,94.8274756877298,91.8527606989587,88.0806361763782,82.0727161227908,79.25130569926041,77.4429002647298,74.65740019088321,75.3737127389838,75.238593314021,75.8808309996794,74.39303714673491,75.52769010477309,74.33980870971091,74.2577305050229,74.21543306468809,73.56551913210659,74.3650681130469,74.2674448239345,74.9340417687463,76.2113455043167,77.1712540171742,78.90899430159959,81.5647670049241,82.3467981320434,83.69439027070119,85.5013240254271,89.6255001759388,92.18877593503571,92.1453597572989,94.8587344254049,97.4669786543548,99.71797187543069,102.16424616291599,103.169420256514,105.311753874993,106.57780276032,108.409584533539
Bakersfield CA Metro Area,69.4747507871859,69.7791500965201,69.25337986318691,69.727446564126,69.2922269553945,67.5772938092713,67.51997783653471,67.6208738697567,68.0933680361178,70.1206213885494,71.262997905258,72.4212289008217,74.60487234542829,76.17989353998979,77.7555607355012,79.7444908580783,82.1376663873443,84.9535675840603,88.45446338200209,91.7374091564653,95.1623342467039,99.0843504252743,100.203186192552,99.94612336169779,101.199635040593,102.06976256343599,101.050683501478,101.315473057389,99.47964128259069,97.46832208248001,93.65631295163341,88.2406620614906,80.30246253447,74.93689669776641,71.9917070753887,69.4193317312957,69.4546133752139,69.1729461147767,66.7917130849588,65.4742192724656,66.0198250964543,65.54639643901,65.7378323611082,66.5132962379589,66.479540144063,65.0055620608517,65.9949104063556,67.7356917156064,69.2698956377318,71.02327812829341,74.35973757422279,75.95771497109341,79.9392349242978,83.2796881908143,84.3230946285423,87.6210144362866,90.1593026212609,91.0644367151124,93.65286102132141,94.0697538592542,94.8942683326489,95.4235411459553,95.97635292441808,96.49511701215349,96.76751321771391,98.48429700592828
Baltimore-Columbia-Towson MD Metro Area,66.0312690306196,66.309994561104,66.6950138697224,66.094653084164,66.2314351392388,65.6517887527106,65.4466005315077,65.9748678491779,67.4374271774165,68.6077914048674,69.788262938291,72.76804252195281,74.5567662446122,75.7315948371382,76.2367090988854,79.19979383188371,81.8219741613588,84.2298586795365,88.08506807664101,90.41100227879541,92.34259000695441,95.08045457045411,97.6073738853869,98.3771938167671,99.47812729933321,100.722283664294,102.01866579958401,100.790623819531,99.7621113568441,97.81543663574341,94.3762980012059,90.01667425875921,84.2298151372362,80.5765444357352,79.67593160950709,77.30908018989629,77.3981469035233,77.4086942855405,77.5075864800546,78.1097513336974,78.3867719222314,75.9940468148476,76.30103394616721,76.49671902579621,76.63210938203359,77.26007783674129,77.33556929527529,77.99385831516341,79.3132889945327,79.3543555239395,79.75139032203909,79.49928236524659,81.70737796881059,84.7860521601403,87.72593420092991,93.0228409548935,95.78115279153,97.0983852299349,100.247623760582,101.44258220258499,103.22887737241999,103.52925223259199,104.96674563303101,105.857449133586,107.914867953182,107.244591147975
Baton Rouge LA Metro Area,70.1729164822548,69.7346845062433,69.99131646902259,70.4901653128652,70.2357387024611,70.7483528524966,70.8477204588931,70.74127084397558,71.018367849708,71.3106075739121,71.5272398282145,73.50217545252991,76.3308644252739,78.41529583637441,80.1514913779594,80.8680156252892,82.2158947284901,84.7276135009663,88.5253493410726,89.40598860666272,90.97629951655891,93.06344332235821,95.2285478167324,95.85648758720329,96.9999107866812,98.0013424559894,99.8839430827363,99.9071700072218,98.9450953450145,96.1602231686658,93.3621441009603,91.03112613495242,84.1040182253993,81.8857400785228,78.8511467517306,79.7536470751482,78.04298281900991,78.074291851827,77.935997396307,78.60959561821,79.37599354396541,82.8052762691543,80.97306981267691,80.9849789420587,80.49195232617501,81.3987505470877,79.70340111913191,80.20871004287041,82.4424301847045,80.8638133136477,82.4495222412218,82.6190315749106,84.5497646571797,83.29448804902921,84.6619440754081,85.97721194988009,88.5212540464674,90.7410579883577,91.8998077909376,93.1212526406576,93.94522912071609,94.55329362468399,95.9502237527265,97.6436059594875,98.29258015348141,99.1689716058301
